"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,1
2020-01-21,0,0,0,0,1
2020-01-22,0,0,0,0,1
2020-01-23,0,0,0,0,1
2020-01-24,0,0,0,0,2
2020-01-25,0,0,0,0,2
2020-01-26,0,0,0,0,5
2020-01-27,0,0,0,0,5
2020-01-28,0,0,0,0,5
2020-01-29,0,0,0,0,5
2020-01-30,0,0,0,0,6
2020-01-31,0,0,0,0,7
2020-02-01,0,0,0,0,8
2020-02-02,0,0,0,0,11
2020-02-03,1,1,1,0,11
2020-02-04,1,1,1,0,11
2020-02-05,1,1,1,0,12
2020-02-06,1,1,1,0,12
2020-02-07,1,1,1,0,12
2020-02-08,1,2,3,0,12
2020-02-09,1,2,3,0,12
2020-02-10,2,3,4,0,13
2020-02-11,2,3,4,0,13
2020-02-12,3,4,5,0,14
2020-02-13,4,5,6,0,15
2020-02-14,5,7,9,0,15
2020-02-15,6,8,10,0,15
2020-02-16,7,10,13,0,15
2020-02-17,10,13,16,0,15
2020-02-18,12,16,20,0,15
2020-02-19,16,21,26,0,15
2020-02-20,19,26,33,0,16
2020-02-21,25,33,41,1,35
2020-02-22,31,41,51,1,35
2020-02-23,39,52,65,1,35
2020-02-24,48,65,82,1,53
2020-02-25,61,82,103,1,53
2020-02-26,78,104,130,2,59
2020-02-27,97,130,163,2,60
2020-02-28,122,164,206,3,66
2020-02-29,154,207,260,3,69
2020-03-01,194,260,326,4,89
2020-03-02,245,328,411,5,103
2020-03-03,308,413,518,6,125
2020-03-04,388,520,652,8,159
2020-03-05,489,655,821,10,233
2020-03-06,615,825,1035,13,338
2020-03-07,775,1039,1303,16,433
2020-03-08,976,1308,1640,20,554
2020-03-09,1228,1647,2066,25,754
2020-03-10,1548,2075,2602,32,1025
2020-03-11,1949,2613,3277,40,1312
2020-03-12,2454,3290,4126,51,1663
2020-03-13,3090,4143,5196,64,2174
2020-03-14,3891,5217,6543,80,2951
2020-03-15,4900,6570,8240,101,3774
2020-03-16,6171,8274,10377,128,4661
2020-03-17,7771,10419,13067,161,6427
2020-03-18,9786,13121,16456,202,9415
2020-03-19,12324,16524,20724,255,14250
2020-03-20,15519,20808,26097,321,19624
2020-03-21,19543,26204,32865,404,26747
2020-03-22,24611,32999,41387,509,35206
2020-03-23,30993,41556,52119,641,46442
2020-03-24,39030,52332,65634,807,55231
2020-03-25,49150,65901,82652,1017,69194
2020-03-26,61895,82990,104085,1280,85991
2020-03-27,77945,104510,131075,1612,98080
2020-03-28,98157,131610,165063,2030,NA
2020-03-29,123609,165737,207865,2557,NA
2020-03-30,155662,208714,261766,3220,NA
2020-03-31,196025,262834,329643,4055,NA
2020-04-01,246856,330988,415120,5106,NA
2020-04-02,310867,416816,522765,6430,NA
2020-04-03,391476,524898,658320,8097,NA
