"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,NA,0
2019-12-31,0,0,0,NA,0
2020-01-01,0,0,0,NA,0
2020-01-02,0,0,0,NA,0
2020-01-03,0,0,0,NA,0
2020-01-04,0,0,0,NA,0
2020-01-05,0,0,0,NA,0
2020-01-06,0,0,0,NA,0
2020-01-07,0,0,0,NA,0
2020-01-08,0,0,0,NA,0
2020-01-09,0,0,0,NA,0
2020-01-10,0,0,0,NA,0
2020-01-11,0,0,0,NA,0
2020-01-12,0,0,0,NA,0
2020-01-13,0,0,0,NA,0
2020-01-14,0,0,0,NA,0
2020-01-15,0,0,0,NA,0
2020-01-16,0,0,0,NA,0
2020-01-17,0,0,0,NA,0
2020-01-18,0,0,0,NA,0
2020-01-19,0,0,0,NA,0
2020-01-20,0,0,0,NA,0
2020-01-21,0,0,0,NA,0
2020-01-22,0,0,0,NA,0
2020-01-23,0,0,0,NA,0
2020-01-24,0,0,0,NA,0
2020-01-25,0,0,0,NA,0
2020-01-26,0,0,0,NA,0
2020-01-27,0,0,0,NA,0
2020-01-28,0,0,0,NA,0
2020-01-29,0,0,0,NA,0
2020-01-30,0,0,0,NA,0
2020-01-31,0,0,0,NA,0
2020-02-01,0,0,0,NA,0
2020-02-02,0,0,0,NA,0
2020-02-03,0,0,0,NA,0
2020-02-04,0,0,0,NA,0
2020-02-05,0,0,0,NA,0
2020-02-06,0,0,0,NA,0
2020-02-07,0,0,0,NA,0
2020-02-08,0,0,0,NA,0
2020-02-09,0,0,0,NA,0
2020-02-10,0,0,0,NA,0
2020-02-11,0,0,0,NA,0
2020-02-12,0,0,0,NA,0
2020-02-13,0,0,0,NA,0
2020-02-14,0,0,0,NA,0
2020-02-15,0,0,0,NA,0
2020-02-16,0,0,0,NA,0
2020-02-17,0,0,0,NA,0
2020-02-18,0,0,0,NA,0
2020-02-19,0,0,0,NA,0
2020-02-20,0,0,0,NA,0
2020-02-21,0,0,0,NA,0
2020-02-22,0,0,0,NA,0
2020-02-23,0,0,0,NA,0
2020-02-24,0,0,0,NA,0
2020-02-25,0,0,0,NA,0
2020-02-26,0,0,0,NA,0
2020-02-27,0,0,0,NA,1
2020-02-28,0,0,0,NA,1
2020-02-29,0,0,0,NA,1
2020-03-01,0,0,0,NA,1
2020-03-02,1,1,1,NA,0
2020-03-03,1,1,1,NA,2
2020-03-04,1,1,1,NA,3
2020-03-05,1,1,1,NA,4
2020-03-06,1,1,1,NA,5
2020-03-07,1,2,3,NA,0
2020-03-08,2,3,4,NA,0
2020-03-09,2,3,4,NA,0
2020-03-10,2,4,6,NA,0
2020-03-11,3,6,9,NA,0
2020-03-12,4,7,10,NA,0
2020-03-13,6,10,14,NA,6
2020-03-14,7,13,19,NA,8
2020-03-15,9,16,23,NA,0
2020-03-16,12,21,30,NA,0
2020-03-17,16,28,40,NA,20
2020-03-18,21,37,53,NA,28
2020-03-19,27,48,69,NA,39
2020-03-20,36,63,90,NA,53
2020-03-21,47,82,117,NA,66
2020-03-22,61,107,153,NA,102
2020-03-23,80,140,200,NA,142
2020-03-24,104,182,260,NA,189
2020-03-25,137,239,341,NA,283
2020-03-26,178,312,446,NA,338
2020-03-27,233,407,581,NA,368
2020-03-28,304,532,760,NA,NA
2020-03-29,398,696,994,NA,NA
2020-03-30,519,909,1299,NA,NA
2020-03-31,679,1188,1697,NA,NA
2020-04-01,887,1553,2219,NA,NA
2020-04-02,1159,2029,2899,NA,NA
2020-04-03,1515,2652,3789,NA,NA
