"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,1,1,1,0,0
2020-01-15,1,1,1,0,0
2020-01-16,1,1,1,0,0
2020-01-17,1,1,1,0,0
2020-01-18,1,1,1,0,0
2020-01-19,1,1,1,0,0
2020-01-20,1,1,1,0,0
2020-01-21,1,1,1,0,0
2020-01-22,1,1,1,0,0
2020-01-23,1,2,3,0,0
2020-01-24,1,2,3,0,0
2020-01-25,1,2,3,0,0
2020-01-26,1,2,3,0,0
2020-01-27,2,3,4,0,0
2020-01-28,2,3,4,0,0
2020-01-29,2,3,4,0,0
2020-01-30,3,4,5,0,0
2020-01-31,3,4,5,0,1
2020-02-01,3,5,7,0,1
2020-02-02,3,5,7,0,1
2020-02-03,4,6,8,0,1
2020-02-04,5,7,9,0,1
2020-02-05,5,8,11,0,1
2020-02-06,6,9,12,0,1
2020-02-07,7,10,13,0,1
2020-02-08,7,11,15,0,1
2020-02-09,8,12,16,0,1
2020-02-10,9,14,19,0,1
2020-02-11,11,16,21,0,1
2020-02-12,12,18,24,0,1
2020-02-13,13,20,27,0,1
2020-02-14,16,23,30,1,1
2020-02-15,17,25,33,1,1
2020-02-16,20,29,38,1,1
2020-02-17,22,32,42,1,1
2020-02-18,24,36,48,1,1
2020-02-19,28,41,54,1,1
2020-02-20,31,46,61,1,1
2020-02-21,35,52,69,1,1
2020-02-22,40,59,78,1,1
2020-02-23,45,66,87,2,1
2020-02-24,51,75,99,2,1
2020-02-25,57,84,111,2,1
2020-02-26,64,95,126,2,2
2020-02-27,72,107,142,3,7
2020-02-28,81,120,159,3,12
2020-02-29,92,136,180,3,13
2020-03-01,103,153,203,4,14
2020-03-02,116,172,228,4,15
2020-03-03,131,194,257,5,24
2020-03-04,148,219,290,5,35
2020-03-05,167,247,327,6,61
2020-03-06,188,278,368,7,137
2020-03-07,211,313,415,8,161
2020-03-08,238,353,468,9,203
2020-03-09,269,398,527,10,248
2020-03-10,302,448,594,11,326
2020-03-11,341,505,669,12,462
2020-03-12,384,569,754,14,620
2020-03-13,433,641,849,16,775
2020-03-14,488,723,958,18,924
2020-03-15,549,814,1079,20,1032
2020-03-16,619,918,1217,23,1121
2020-03-17,698,1034,1370,25,1167
2020-03-18,786,1165,1544,29,1301
2020-03-19,886,1313,1740,32,1423
2020-03-20,999,1480,1961,36,1623
2020-03-21,1126,1668,2210,41,1746
2020-03-22,1269,1880,2491,46,1906
2020-03-23,1429,2118,2807,52,2016
2020-03-24,1611,2387,3163,59,2272
2020-03-25,1815,2690,3565,66,2526
2020-03-26,2045,3031,4017,74,NA
2020-03-27,2305,3416,4527,84,NA
2020-03-28,2597,3849,5101,94,NA
2020-03-29,2927,4338,5749,106,NA
2020-03-30,3298,4888,6478,120,NA
2020-03-31,3717,5509,7301,135,NA
2020-04-01,4189,6208,8227,152,NA
